Name,Species,Color,Weight,Height,Gender,Age
Luna,Dog,Black,25.5,18,Female,3
Max,Cat,Orange,10.2,12,Male,5
Rocky,Turtle,Green,2,6,Male,10
Bella,Rabbit,White,5.2,8,Female,2
Charlie,Hamster,Brown,0.2,4,Male,1
Molly,Guinea Pig,Brown and White,2.5,10,Female,4
Simba,Lion,Tan,400,4,Male,8
Sophie,Elephant,Grey,5000,8,Female,15
Ginger,Fox,Red,15,10,Female,2
Buddy,Horse,Brown,1000,6,Male,6
Daisy,Cow,White and Black,1200,5,Female,4
Sammy,Chicken,White,3,1,Female,1
Zeus,Giraffe,Yellow and Brown,2000,15,Male,12
Oliver,Monkey,Brown,20,2,Male,3
Lilly,Penguin,Black and White,20,2,Female,5
Jake,Snake,Green and Black,1,6,Male,2
Maggie,Pig,Pink,300,3,Female,2
Rosie,Sheep,White,200,3,Female,3
Milo,Beaver,Brown,15,1,Male,4
Kiki,Kangaroo,Brown,50,3,Female,6
